Time & velocity0.00,0.0000 
0.10,0.9810 
0.20,2.9422 
0.30,5.8740 
0.40,9.7389 
0.50,14.4407 
0.60,19.7906 
0.70,25.4830 
0.80,31.1051 
0.90,36.2033 
1.00,40.3977 
1.10,43.4972 
1.20,45.5416 
1.30,46.7425 
1.40,47.3710 
1.50,47.6643 
1.60,47.7860 
1.70,47.8307 
1.80,47.8451 
1.90,47.8491 
2.00,47.8500 
2.10,47.8502 
2.20,47.8502 
2.30,47.8502 
2.40,47.8502 
2.50,47.8502 
2.60,47.8502 
2.70,47.8502 
2.80,47.8502 
2.90,47.8502 
3.00,47.8502 
3.10,47.8502 
3.20,47.8502 
3.30,47.8502 
3.40,47.8502 
3.50,47.8502 
3.60,47.8502 
3.70,47.8502 
3.80,47.8502 
3.90,47.8502 
4.00,47.8502 
4.10,47.8502 
4.20,47.8502 
4.30,47.8502 
4.40,47.8502 
4.50,47.8502 
4.60,47.8502 
4.70,47.8502 
4.80,47.8502 
4.90,47.8502 
5.00,47.8502 
5.10,47.8502 
5.20,47.8502 
5.30,47.8502 
5.40,47.8502 
5.50,47.8502 
5.60,47.8502 
5.70,47.8502 
5.80,47.8502 
5.90,47.8502 
6.00,47.8502 
6.10,47.8502 
6.20,47.8502 
6.30,47.8502 
6.40,47.8502 
6.50,47.8502 
6.60,47.8502 
6.70,47.8502 
6.80,47.8502 
6.90,47.8502 
7.00,47.8502 
7.10,47.8502 
7.20,47.8502 
7.30,47.8502 
7.40,47.8502 
7.50,47.8502 
7.60,47.8502 
7.70,47.8502 
7.80,47.8502 
7.90,47.8502 
8.00,47.8502 
8.10,47.8502 
8.20,47.8502 
8.30,47.8502 
8.40,47.8502 
8.50,47.8502 
8.60,47.8502 
8.70,47.8502 
8.80,47.8502 
8.90,47.8502 
9.00,47.8502 
9.10,47.8503 
9.20,47.8500 
9.30,47.8508 
9.40,47.8484 
9.50,47.8555 
9.60,47.8348 
9.70,47.8962 
9.80,47.7114 
9.90,48.2739 
10.00,46.5289 
10.10,51.9252 
10.20,34.1567 
10.30,83.7136 
10.40,-126.5296 
10.50,-743.7604 
10.60,-25762.8802 
10.70,-30453696.3263 
10.80,-42914636682233.8700 
10.90,-86007976271266410000000000.0000 
11.00,-348635409120519550000000000000000000000000000000000.0000 
11.10,-5780525453047761000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000 
11.20,-1603444783911710500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000 
11.30,-Infinity 
11.40,-Infinity 
11.50,-Infinity 
11.60,-Infinity 
11.70,-Infinity 
11.80,-Infinity 
11.90,-Infinity 
12.00,-Infinity 
12.10,-Infinity 
12.20,-Infinity 
12.30,-Infinity 
12.40,-Infinity 
12.50,-Infinity 
12.60,-Infinity 
12.70,-Infinity 
12.80,-Infinity 
12.90,-Infinity 
13.00,-Infinity 
13.10,-Infinity 
13.20,-Infinity 
13.30,-Infinity 
13.40,-Infinity 
13.50,-Infinity 
13.60,-Infinity 
13.70,-Infinity 
13.80,-Infinity 
13.90,-Infinity 
14.00,-Infinity 
14.10,-Infinity 
14.20,-Infinity 
14.30,-Infinity 
14.40,-Infinity 
14.50,-Infinity 
14.60,-Infinity 
14.70,-Infinity 
14.80,-Infinity 
14.90,-Infinity 
15.00,-Infinity 
15.10,-Infinity 
15.20,-Infinity 
15.30,-Infinity 
15.40,-Infinity 
15.50,-Infinity 
15.60,-Infinity 
15.70,-Infinity 
15.80,-Infinity 
15.90,-Infinity 
16.00,-Infinity 
